Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
29,R.J. Hunter\hunterj01,SG,25,BOS,1,26,21.5,.612,.769,.154,4.1,8.2,6.2,18.0,1.9,0.0,0.0,23.0,,0.1,0.0,0.1,.226,,3.2,0.4,3.6,0.0
30,Al Horford\horfoal01,C,32,BOS,68,1973,20.2,.605,.281,.131,6.5,18.3,12.4,21.2,1.4,3.9,11.8,18.9,,4.5,2.9,7.5,.181,,3.3,1.9,5.1,3.6
31,Gordon Hayward\haywago01,PF,28,BOS,72,1863,15.6,.575,.364,.294,2.9,15.5,9.2,18.4,1.6,1.1,12.8,19.0,,2.6,2.3,4.9,.126,,0.4,0.4,0.8,1.3
32,PJ Dozier\doziepj01,SG,22,BOS,6,51,16.0,.434,.381,.095,12.5,23.1,17.8,13.7,1.9,0.0,0.0,18.5,,0.1,0.1,0.1,.125,,-1.3,-0.6,-2.0,0.0
33,Jaylen Brown\brownja02,SG,22,BOS,74,1913,13.5,.547,.348,.255,3.6,13.9,8.7,7.7,1.7,1.5,10.1,22.1,,0.7,2.4,3.0,.076,,-1.6,-0.4,-2.1,0.0
34,Aron Baynes\baynear01,C,32,BOS,51,821,14.0,.567,.274,.278,11.4,19.8,15.6,9.3,0.7,3.7,13.8,15.2,,1.3,1.1,2.4,.139,,-1.8,0.3,-1.5,0.1
35,Alan Williams\willial03,PF,26,BRK,5,26,32.9,.610,.077,.308,16.2,60.3,38.4,22.3,1.8,0.0,6.3,25.5,,0.1,0.1,0.2,.312,,7.6,4.2,11.8,0.1
36,D'Angelo Russell\russeda01,PG,22,BRK,81,2448,19.4,.533,.419,.135,2.3,11.2,6.8,41.3,1.9,0.6,13.6,31.9,,2.4,2.6,5.0,.097,,4.0,-0.6,3.4,3.4
37,Theo Pinson\pinsoth01,SG,23,BRK,18,211,8.1,.490,.630,.301,2.0,15.9,9.0,14.1,1.4,0.0,17.9,20.0,,-0.2,0.2,0.0,.004,,-3.6,0.4,-3.2,-0.1
38,Shabazz Napier\napiesh01,PG,27,BRK,56,983,15.3,.534,.524,.317,1.9,8.7,5.3,22.2,2.0,1.3,11.7,24.0,,1.0,1.0,2.0,.098,,0.9,0.6,1.5,0.9
39,Džanan Musa\musadz01,SG,19,BRK,9,39,5.8,.415,.455,.091,2.7,10.7,6.7,8.6,2.4,0.0,14.9,29.0,,-0.2,0.0,-0.1,-0.152,,-6.3,-0.9,-7.2,-0.1
40,Tahjere McCall\mccalta01,SG,24,BRK,1,8,9.6,.581,.333,.333,0.0,13.1,6.6,0.0,0.0,0.0,0.0,18.1,,0.0,0.0,0.0,.055,,-6.0,-0.6,-6.6,0.0
41,Caris LeVert\leverca01,SF,24,BRK,40,1063,14.9,.509,.319,.255,3.5,11.4,7.5,23.2,1.9,1.0,11.4,24.0,,0.5,1.2,1.7,.077,,-0.3,0.5,0.2,0.6
42,Rodions Kurucs\kurucro01,SF,20,BRK,63,1294,11.0,.545,.410,.205,4.6,15.4,10.0,6.0,1.5,1.5,13.6,18.4,,0.1,1.5,1.6,.059,,-2.9,0.3,-2.6,-0.2
43,Rondae Hollis-Jefferson\holliro01,SF,24,BRK,59,1234,12.5,.464,.101,.376,7.1,19.2,13.2,11.7,1.7,1.7,10.7,21.6,,-0.5,1.7,1.2,.047,,-3.0,0.4,-2.6,-0.2
44,Joe Harris\harrijo01,SG,27,BRK,76,2293,13.5,.645,.516,.178,2.4,10.9,6.7,11.9,0.8,0.6,13.0,17.0,,3.8,1.7,5.5,.116,,0.8,-0.3,0.5,1.4
45,Treveon Graham\grahatr01,SG,25,BRK,35,715,6.1,.458,.670,.115,3.4,12.3,7.9,6.5,0.9,0.8,7.8,12.8,,-0.1,0.6,0.5,.033,,-3.7,0.0,-3.7,-0.3
46,Jared Dudley\dudleja01,PF,33,BRK,59,1220,7.8,.554,.632,.192,2.9,10.4,6.7,9.2,1.4,1.0,14.2,10.4,,0.6,1.2,1.8,.070,,-2.9,1.1,-1.8,0.1
47,Spencer Dinwiddie\dinwisp01,PG,25,BRK,68,1914,16.3,.580,.447,.430,1.4,7.6,4.6,25.6,1.0,0.7,13.4,24.9,,3.5,1.4,4.8,.121,,1.4,-0.8,0.6,1.3
48,Ed Davis\davised01,C,29,BRK,81,1446,17.3,.632,.007,.536,15.8,34.6,25.2,6.0,1.2,1.8,14.6,12.7,,3.3,2.5,5.7,.191,,-0.6,0.7,0.0,0.7
49,Allen Crabbe\crabbal01,SG,26,BRK,43,1133,7.7,.519,.694,.150,1.5,12.2,6.9,5.8,1.0,0.9,10.4,16.4,,-0.2,1.0,0.8,.035,,-2.4,-0.4,-2.8,-0.2
50,DeMarre Carroll\carrode01,PF,32,BRK,67,1703,12.1,.546,.539,.421,4.2,17.3,10.8,7.2,0.9,0.5,9.7,18.6,,1.5,1.6,3.1,.088,,-0.9,-0.6,-1.5,0.2
51,Jarrett Allen\allenja01,C,20,BRK,80,2096,18.5,.632,.079,.489,9.6,24.0,16.8,7.9,1.0,4.5,13.0,15.9,,4.4,3.3,7.6,.175,,0.2,1.4,1.6,1.9
52,Tyler Ulis\ulisty01,PG,23,CHI,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.015,,-7.7,-2.7,-10.4,0.0
